Brand,Store Name,Address
CU,CU Megan Avenue 1,"CU MART, MEGAN PHILEO PROMENADE BLOCK E, HAMPSHIRE PARK, KUALA LUMPUR, KUALA LUMPUR, 50400"
CU,CU Mid Valley,"UNIT G-022 AND 023, LEVEL G, MID VALLEY MEGAMALL, MID VALLEY CITY, LINGKARAN SYED PUTRA, MID VALLEY CITY , KUALA LUMPUR, 59200"
CU,CU MNR Affin TRX,"LOT P1-01, MENARA AFFIN LINGKARAN TRX, TUN RAZAK EXCHANGE, KUALA LUMPUR, KUALA LUMPUR, 55188"
CU,CU Mytown Shopping Centre,"LOT NO. B1-061, B1-062, B1 MYTOWN SHOPPING CENTRE, NO. 6 JALAN COCHRANE, SEKSYEN 90 KUALA LUMPUR, KUALA LUMPUR, 55100"
CU,CU Nexus Bangsar South,"CU NEXUS BANGSAR SOUTH, UNIT G-13A, GROUND FLOOR, 7, JALAN KERINCHI, PANTAI DALAM, KUALA LUMPUR, FEDERAL TERRITORY OF KUALA LUMPUR, 59200"
CU,CU Plaza Usahawan Kuala Lumpur,"CU PLAZA USAHAWAN SETAPAK, 8, JALAN DANAU NIAGA, DANAU KOTA, KUALA LUMPUR, KUALA LUMPUR, 53300"
CU,CU Puncak Sentul Kuala Lumpur,"AG-19, GROUND FLOOR, 8, JLN SENTUL PASAR, SENTUL, KUALA LUMPUR, KUALA LUMPUR, 51000"
CU,CU Radin Bagus,"NO. 121 JALAN RADIN BAGUS SRI PETALING KUALA LUMPUR, KUALA LUMPUR, 57000"
CU,CU Rohas Kuala Lumpur,"NO. 11, JALAN P. RAMLEE, CITY CENTRE, KUALA LUMPUR, KUALA LUMPUR, 50250"
CU,CU Selayang,"NO. 67, JALAN 2/16, BANDAR BARU SELAYANG, SELAYANG BATU CAVES, KUALA LUMPUR, 68100"
CU,CU Solaris,"NO. 20-G, JALAN SOLARIS 4 SOLARIS MONT KIARA, KUALA LUMPUR, KUALA LUMPUR, 50480"
